IdDate,Date,Month,Year,Trimester,DayOfWeek
20121108,8/11/2012,noviembre,2012,4,jueves
20121109,9/11/2012,noviembre,2012,4,viernes
20121110,10/11/2012,noviembre,2012,4,sábado
20121111,11/11/2012,noviembre,2012,4,domingo
20121112,12/11/2012,noviembre,2012,4,lunes
20121113,13/11/2012,noviembre,2012,4,martes
20121114,14/11/2012,noviembre,2012,4,miércoles
20121115,15/11/2012,noviembre,2012,4,jueves
20121116,16/11/2012,noviembre,2012,4,viernes
20121117,17/11/2012,noviembre,2012,4,sábado
20121118,18/11/2012,noviembre,2012,4,domingo
20121119,19/11/2012,noviembre,2012,4,lunes
20121120,20/11/2012,noviembre,2012,4,martes
20121121,21/11/2012,noviembre,2012,4,miércoles
20121122,22/11/2012,noviembre,2012,4,jueves
20121123,23/11/2012,noviembre,2012,4,viernes
20121124,24/11/2012,noviembre,2012,4,sábado
20121125,25/11/2012,noviembre,2012,4,domingo
20121126,26/11/2012,noviembre,2012,4,lunes
20121127,27/11/2012,noviembre,2012,4,martes
20121128,28/11/2012,noviembre,2012,4,miércoles
20121129,29/11/2012,noviembre,2012,4,jueves
20121130,30/11/2012,noviembre,2012,4,viernes
20121201,1/12/2012,diciembre,2012,4,sábado
20121202,2/12/2012,diciembre,2012,4,domingo
20121203,3/12/2012,diciembre,2012,4,lunes
20121204,4/12/2012,diciembre,2012,4,martes
20121205,5/12/2012,diciembre,2012,4,miércoles
20121206,6/12/2012,diciembre,2012,4,jueves
20121207,7/12/2012,diciembre,2012,4,viernes
20121208,8/12/2012,diciembre,2012,4,sábado
20121209,9/12/2012,diciembre,2012,4,domingo
20121210,10/12/2012,diciembre,2012,4,lunes
20121211,11/12/2012,diciembre,2012,4,martes
20121212,12/12/2012,diciembre,2012,4,miércoles
20121213,13/12/2012,diciembre,2012,4,jueves
20121214,14/12/2012,diciembre,2012,4,viernes
20121215,15/12/2012,diciembre,2012,4,sábado
20121216,16/12/2012,diciembre,2012,4,domingo
20121217,17/12/2012,diciembre,2012,4,lunes
20121218,18/12/2012,diciembre,2012,4,martes
20121219,19/12/2012,diciembre,2012,4,miércoles
